Question,Option 1,Option 2,Option 3,Option 4,Correct Answer,Time,Image Link,,
Cloud computing is a computing paradigm in which:, users are able to access software and services run by servers that reside on the Internet.,one domain name server hosts multiple domain names.,"multiple companies, organizations or people share portions of the same domain name.",users are able to outsource a task to an undefined group of people or community to obtain and analyze large amounts of data.,1,,,,
What is an Internet Service Provider (ISP)?, An organization that maintains a gateway to the Internet and rents access to it,A computer system with an Internet connection and the correct software for Internet communication,The company that provides telephone lines to your home or office,A dial-up or high-speed direct connection to the Internet,1,,,,
"Tim is listening to music from an online music provider (such as Pandora). He creates a list of his music preferences, and the music service uses his list to suggest additional songs that Tim might like. This music service is an example of a cloud-computing application that uses collaborative filtering technology. What is the name of this type of technology?", Bit-torrent,Software as a Service,Crowdsourcing,Grid computing,3,,,,
"Of the six elements required to connect to the Internet, which can be supplied in the form of a Web browser, e-mail program or mobile app?", Client software,Operating system,Internet address,Internet connection,1,,,,
"In an Ethernet network, all data travels across the network and between computers in which form or unit?", E-mails,Protocols,Packets,Routers,3,,,,
Six elements are required to connect to the Internet. One of these elements is TCP/IP. Which of the following best describes this element?, Direct connection to an Internet Service Provider (ISP),"PC, smartphone, smart TV, tablet, etc.",Protocol software used to communicate with the Internet,"Windows, Linux/UNIX, Macintosh, etc.",3,,,,
What is a node?, A network computer that manages network resources and provides data,A system or application on a network that requests a service from another computer,Any entity or addressable device on a network that can be managed,An organized repository of data that can be queried and searched by users,3,,,,
"Instead of purchasing software and hardware that must be maintained by internal resources, more and more small businesses today are choosing hosted solutions with a monthly subscription fee and outsourced system maintenance. Which term is commonly used for this business model?", Software as a Service,Crowdsourcing,Grid computing,Scalability,1,,,,
What is the least expensive way to access the Internet?, With a cable modem from the cable TV company,With a local area network (LAN) connection,With a Digital Subscriber Line (DSL),"With phone lines, an analog modem and an ISP",4,,,,
Which U.S. government agency first funded the development of the Internet?, The Department of Commerce,The Department of Defense,The Internal Revenue Service,The National Aeronautics and Space Administration,2,,,,
Which statement accurately describes the difference between a traditional modem and an ISDN line?," ISDN translates digital signals to analog and back, whereas a modem uses a digital line.","A modem connects a user to an all-digital network, whereas ISDN adapts a computer to a phone line or cable TV network.","A modem provides a dial-up Internet connection, whereas an ISDN line provides a direct Internet connection.","ISDN uses a digital line, whereas a traditional modem must translate digital signals to analog and back.",4,,,,
"Six elements are required to connect to the Internet. Which one of the six required elements can be satisfied by any of several examples including PC, smartphone, smart TV or tablet?", Operating system,Client software,Computer,Internet connection,3,,,,
The technology adoption life cycle describes:," the doubling of technological advances every two years that explains the increasing capabilities of software applications, the Internet and so forth.","the intellectual ""battle"" that frequently takes place between those who adopt a new paradigm and those who cling to an old paradigm.",the degree to which members of a demographic will adopt or accept a new product or innovation.,"how a particular part of a company, called a domain, is organized.",3,,,,
Which choice lists the two principal methods of connecting to the Internet through an Internet Service Provider (ISP)?, ISDN connection and DSL connection,Standard modem and cable modem,Dial-up connection and direct connection,World Wide Web (WWW) connection and local area network (LAN) connection,3,,,,
Which term is used to describe a computer that is connected to a central server with which it can communicate and from which it can request information?, LAN,Network,Database,Client,4,,,,
Which term is used to describe a computer that is responsible for storing and providing information requested by a client application?, Database,Server,Client,Network,2,,,,
Which statement best describes DSL?," DSL stands for Digital Service Line, a direct Internet connection method that uses cable TV network lines and a cable modem.","DSL stands for Digital Service Line, a dial-up Internet connection method that uses cable TV network lines and a cable modem.","DSL stands for Digital Subscriber Line, a direct Internet connection method that uses digital phone lines and an xDSL modem.","DSL stands for Digital Serial Line, a dial-up Internet connection method that uses digital phone lines and an xDSL modem.",3,,,,
"You are leading a project that will collect vast amounts of data, which will need processing. In your research, you learn about a technology in which volunteers can install a small application on personal computers to receive, process and return information to your organization. Using multiple systems to process large amounts of data in this way will be less expensive than using a single supercomputer to conduct this same task. Which term describes this technology?", Crowdsourcing,Software as a Service,Grid computing,Collective intelligence,3,,,,
How does a LAN differ from a WAN?," A LAN spans a wide geographic area, whereas a WAN spans a confined area such as an office or home.","A LAN consists of multiple WANs, whereas a WAN consists of multiple computers.","A LAN uses public networks and high-speed lines, whereas a WAN is private and may use slower lines.","A LAN spans a confined geographic area, whereas a WAN consists of multiple LANs.",4,,,,
"The SETI (Search for Extraterrestrial Intelligence) project collected vast amounts of data that needed processing. SETI was one of the early adopters of a technology in which volunteers installed a small application on personal computers to receive, process and return information to SETI. Using multiple systems to process large amounts of data was considered to be less expensive than using a single supercomputer to conduct the same task. This technology is typically known as:", collective intelligence.,Software as a Service.,crowdsourcing.,grid computing.,4,,,,
"Kim is using the YouTube graphics-editing application that she accesses via the Internet through her browser. Kim does not own the application, nor can she download it. She is able to use the application any time she needs to edit graphics. Although she does not have to pay for the access, she does notice advertisements, which appear on the sidebar of the application's interface. The application Kim is using may be classified as which of the following?", Software as a Service (SaaS),Spyware,Infrastructure as a Service (IaaS),Freeware,1,,,,
Which definition best describes a network?, A system that requests services from other computers and is used to access files or documents,A central repository of programs and data to which all member users have access,An architecture of computers that divides processing and storage tasks between clients and servers,"A group of computers connected so they can communicate, share resources and exchange data",4,,,,
Juan is preparing to give a presentation to his company's managers about the cloud-computing services that his department is planning to implement. He considers the possible objections that his managers might have to using cloud services for the company. What disadvantage of cloud services should he be ready to discuss?, Cost,Flexibility,Scalability,Speed,4,,,,
Which of the following refers to a family of specifications for wireless network technology?, Ad-hoc and infrastructure modes,Dial-up and direct connections,T and E carriers,802.11 standards,4,,,,
"Ange works as an Administrative Assistant for a small business that uses an SaaS service for sales orders and customer accounting (similar to Salesforce.com). Ange makes sure to save accurate records about current projects, and she performs regular backups of the business data stored on this cloud-based service. Why?", Because the service and records would not be accessible if there is an interruption in Internet access,"Because although it is well known that cloud-based services are highly secure, highly reliable and always available, Ange is paranoid and too cautious",Because data stored online through this cloud-based service has more risk to security breaches than if it were stored locally,Because the number of users who are allowed to access the cloud-based service at any time is limited,1,,,,
"Of the six elements required to connect to the Internet, which is often supplied by an ISP?", Internet connection,Computer,TCP/IP,Operating system,1,,,,
Which protocol is required for computers to communicate with each other over the Internet?, TCP/IP,POP,HTTP,FTP,1,,,,
Approximately how many numeric IP addresses are possible with IPv4?, 1 billion,400 million,4 billion,100 million,3,,,,
Which protocol do many browsers assume when you enter a URL in the Address field?, HTML,HTTP,FTP,WWW,2,,,,
"Your company offers software applications for various topics. When a customer purchases a desired app from your online store, she is directed to a page where she can download the application directly. When the customer begins downloading the app, the standard protocol that is most likely transferring the application is:", HTTPS.,HTTP.,FTP.,SMTP.,3,,,,
Which statement best describes an E3 connection?, E3 is the direct-access equivalent of an ISDN line.,E3 is the digital equivalent of an analog modem.,E3 is the analog equivalent of a T3 Internet connection.,E3 is the European equivalent of a T3 Internet connection.,4,,,,
"Which protocol is the data transmission standard for the Internet, responsible for sending information from one computer to another using uniquely identifying addresses?", Point-to-Point Protocol (PPP),Transmission Control Protocol (TCP),Point-to-Point Protocol over Ethernet (PPPoE),Internet Protocol (IP),4,,,,
Which protocol is often used to publish Web pages to a Web server?, Point-to-Point Protocol (PPP),File Transfer Protocol (FTP),Hypertext Transfer Protocol (HTTP),Internet Protocol (IP),2,,,,
How many mail servers does the use of e-mail involve?, One -- both incoming and outgoing mail are handled by one server using Post Office Protocol (POP) or Internet Message Access Protocol (IMAP).,"Two -- incoming mail is handled by one server using Post Office Protocol (POP) or Internet Message Access Protocol (IMAP), and outgoing mail is handled by another server using Simple Mail Transfer Protocol (SMTP).",One -- both incoming and outgoing mail are handled by one server using Simple Mail Transfer Protocol (SMTP).,"Two -- incoming mail is handled by one server using Simple Mail Transfer Protocol (SMTP), and outgoing mail is handled by another server using Post Office Protocol (POP) or Internet Message Access Protocol (IMAP).",2,,,,
Hypertext Transfer Protocol (HTTP) is responsible for providing Web pages to users who request them. The required elements for HTTP to function are:," server, HTML and DNS.","client, Web page and DNS.","client, server and TCP/IP.","browser, HTML and TCP/IP.",3,,,,
Which protocol is used to host newsgroups and distribute mailing lists by providing text output that users can access at their convenience and by allowing multi-person input like a conference call?, Internet Message Access Protocol (IMAP),Network News Transfer Protocol (NNTP),Post Office Protocol (POP),Simple Mail Transfer Protocol (SMTP),2,,,,
"Which protocol is used to receive e-mail messages from an incoming mail server, and forces you to download e-mail messages before reading, deleting or otherwise managing them?", Simple Mail Transfer Protocol (SMTP),Network News Transfer Protocol (NNTP),Post Office Protocol (POP),Internet Message Access Protocol (IMAP),3,,,,
Direct connections provide continuous access to the Internet. Many bandwidth options are associated with direct connections. Which technology can transmit data over a network connection at speeds up to 1.544 Mbps?, T1,ISDN,DSL,E1,1,,,,
Which protocol allows you to browse and manage e-mail messages while they reside on the mail server?, Post Office Protocol (POP),Internet Message Access Protocol (IMAP),Simple Mail Transfer Protocol (SMTP),Network News Transfer Protocol (NNTP),2,,,,
Which protocol allows a computer using an analog modem to make an initial connection to the Internet?, Point-to-Point Protocol (PPP),Hypertext Transfer Protocol (HTTP),Simple Mail Transfer Protocol (SMTP),Network News Transfer Protocol (NNTP),1,,,,
You want to be able to quickly view news headlines without the need to open your Web browser and visit any news Web sites. How can you accomplish your goal?, Set up a Web feed.,Set up a proxy server.,Set up a browser cache.,Set up a rendering engine.,1,,,,
Which protocol is used to send Web pages from a Web server to a Web browser?, File Transfer Protocol (FTP),Hypertext Markup Language (HTML),Hypertext Transfer Protocol (HTTP),Post Office Protocol (POP3),3,,,,
"Which protocol is the Internet standard protocol for transmitting e-mail messages over networks, and is responsible solely for sending -- but not receiving -- e-mail messages?", Post Office Protocol (POP),Internet Message Access Protocol (IMAP),Network News Transfer Protocol (NNTP),Simple Mail Transfer Protocol (SMTP),4,,,,
Which of the following can you use to view headlines and updates from your favorite Web sites without the need to open your Web browser or visit any Web sites?, RSS and Atom,Pop-up windows,Pop-under windows,Proxy servers,1,,,,
Which Internet resource is used to resolve domain names to IP addresses?, A shared domain hosting service,A root-level server,A virtual domain hosting service,A domain name server,4,,,,
"When Web users enter the URL www.CIWcertified.com in their browser address bar, they can access the official CIW Web site at the IP address 72.44.192.233. Which technology enables users to do this, instead of having to remember and enter the IP address?", HTTP,TCP/IP,DNS,HTML,3,,,,
Your company has a registered domain name. You decide to sell portions of the domain name and make it available to others. What does this scenario describe?, A top-level domain,A shared domain,A virtual domain,A cloud domain,2,,,,
A domain name consists of letters (and sometimes numbers) separated by periods. Which of the following is the host name component of a domain name?," The right-side component of a domain name, which categorizes domains into groups by common type or geography","The left-side component of the domain name, which categorizes domains into groups by server name","The left-side component of a domain name, which categorizes domains into groups by common type or geography","The right-side component of a domain name, which categorizes domains into groups by server name",2,,,,
Which of the following is considered an original Internet top-level domain?, .biz,.info,.net,.pro,3,,,,
Which choice lists two methods that you can use to reference an FTP or file-storage server (such as Dropbox) in order to download files?, By IP address or FTP address,By IP address or domain name,By FTP address or HTTP address,By HTTP address or domain name,2,,,,
"Every domain name is unique. Once registered, it cannot be used by an unauthorized organization or individual. What organization is responsible for managing domain names?", ICANN,ISO,W3C,TCP/IP,1,,,,
How is IPv6 able to offer more Internet addresses than IPv4?, By using 128-bit IP addresses,By requiring less overhead,By causing Internet usage to grow,By using wireless network components,1,,,,
Which Internet resource is used to resolve IP addresses into easily recognizable text-based names?, Root-level servers,The Domain Name System (DNS),Usenet (User Network),Domain name servers,2,,,,
IPv4 addresses use a 32-bit address format that is divided into four sets of numbers. What is the term for this address?, Dotted quad,Hexadecimal,URL,Connection,1,,,,
"Internet domain names sometimes use a country-level domain, or country code, to identify the geographical region in which the Internet organization or address is based. Which address demonstrates the proper syntax for a country-level domain?", bonjour.fra.org,mx.salsa.com,britishlore.org.eng,londontimes.co.uk,4,,,,
Hypertext Transfer Protocol (HTTP) can be run over Secure Sockets Layer (SSL) to create the HTTPS protocol. How does HTTPS make HTTP transmission more secure?, By eliminating the need for user names and passwords,By attaching digital certificates to information transmitted to and from Web servers,By eliminating the need for digital certificates,By encrypting and decrypting information transmitted to and from Web servers,4,,,,
Which term is used to describe a training session that is delivered over the Internet?, Webinar,Intranet,Extranet,Voice conference,1,,,,
"While you are exploring a Web page in the Firefox browser, a file fails to properly display. You decide to install the required plug-in to view the file and are forced to quit Firefox, install the plug-in, then restart Firefox. What kind of installation is this?", An online installation,A lossy installation,An offline installation,A lossless installation,3,,,,
"Your company is making changes to a certain product. You need to discuss these changes with the company's sales managers, who are located in various international locations. Which of the following methods is the most efficient and economical solution for you to discuss the required information with all the sales managers synchronously?", Post the blueprints showing the changes on the company's Web site and call each sales manager personally to discuss their individual questions or concerns offline.,Schedule an in-person sales meeting with the managers at the company headquarters so that you can demonstrate the changes and answer any questions with the entire group present.,Schedule a Webinar with the sales managers so that you can demonstrate the changes and answer any questions with the entire group.,Send the blueprints showing the changes via e-mail to each of the sales managers and ask them to contact you with any questions.,3,,,,
"In reference to the elements of a Web browser, what is a sandbox?", Code that controls how the browser accesses a network,An instruction from a running application that executes a particular task,A programming method that isolates a particular application or process,The part of the browser responsible for reading and processing programming languages,3,,,,
"Web conferences are a cost-effective alternative to live, in-person meetings. Which of the following is a feature of Web conferences?", Language translation,Transcription,Polling,Unlimited availability to the public,3,,,,
Consider the following address: http://www.CIWcertified.com/courses/iba.htm Which part of this address represents the domain name?, /courses/,www,iba.htm,.CIWcertified.com,4,,,,
Viewers are scaled-down versions of applications and usually do not have the full application's functionality. Which choice describes tasks you can generally perform using a viewer?," View and print documents, but not edit them","Print documents, but not view or edit them","View documents, but not print or edit them","View and edit documents, but not print them",1,,,,
"Users can access and navigate an FTP server using an FTP client program. For which action does the FTP client program use the ""put"" command?", To upload a file,To move a file to a new location,To search for a file,To download a file,1,,,,
Which is the native audio format for Microsoft Windows?, Waveform (WAV),Ogg Vorbis (OGG),Audio Interchange File Format (AIFF),"Moving Picture Experts Group, Audio Layer-3 (MP3)",1,,,,
"Which file format retains formatting information through all platforms and can be created and read on any computer, regardless of the local operating system?", Encapsulated PostScript (EPS),Microsoft Word (DOC),Portable Document Format (PDF),Rich Text Format (RTF),3,,,,
SSL (Secure Sockets Layer) and TLS (Transport Layer Security) are two common protocols used to secure Internet communication exchanges. Which of the following is true about SSL and TLS?, SSL is the successor to TLS and has become more common.,TLS and SSL are deprecated protocols that have been replaced by HTTPS.,TLS and SSL are newer protocols that have replaced HTTPS.,TLS is the successor to SSL and has become more common.,4,,,,
What is the function of a CAPTCHA?, To identify and filter out spam messages before they reach the e-mail Inbox,To publish a list of IP addresses known to be sources of spam,"To schedule appointments and meetings, store contact information, and manage tasks",To differentiate humans from automated senders during online transactions,4,,,,
With which prefix does a Web page's Uniform Resource Locator (URL) begin?, html://,mailto://,ftp://,http://,4,,,,
"Tina is the technology coordinator for a small multi-national corporation with offices in San Francisco, New York, Tokyo and Paris. She needs to coordinate a live and interactive meeting that will allow executives from each of the offices to meet virtually and share presentations. Which of the following is the best way for Tina to accomplish this?", Webcast,Podcast,Conference call,Web conference,4,,,,
Nancy is using a Web browser on her desktop computer to place some bids on a popular online auction site. She decides that she wants to browse to the CIW site without closing her browser. What is the most efficient way to do this?, By performing a search within the auction site currently displayed in her Web browser,By opening the CIW app that she has downloaded and installed on her computer,By typing the CIW site's URL (www.CIWcertified.com) in the address bar of her Web browser,By entering the CIW site's FTP address (ftp.CIWcertified.com) in the address bar of her Web browser,3,,,,
What is the term for the part of a browser responsible for reading a Web page and presenting it to an end user?, Interpreter,Sandbox,Rendering engine,Window,3,,,,
Intranets and extranets can both be considered subsets of the Internet. Which statement best describes the difference between intranets and extranets?," Intranets are used by commercial organizations, whereas extranets are used by private parties and entrepreneurs.","Intranets are used within corporations by employees, whereas extranets are used by corporations for non-public customer support.","Intranets are used within a geographic continent, whereas extranets are used to connect between continents.","Intranets are used by Internet industry professionals, whereas extranets are used by casual Web users.",2,,,,
Your company wants to simplify the customer support process for its distributors by enabling them to obtain company forms and reports online. You and your Web team are in charge of implementing this capability. Which Web-based system should you implement?, Webinar,Extranet,Intranet,FTP site,2,,,,
You want to give your Web site users the ability to view high-quality video. Connection speed is not an issue. Which file format could you use?, WAV,AVI,MPEG,PDF,3,,,,
"If you click a hyperlink, your browser will:", display a new Web page or another area on the same page.,increase the speed of your modem connection.,display a Web page's source code.,open a window in which you can edit a Web page's text.,1,,,,
Which of the following is generally an advantage of using a Webcast instead of an in-person meeting?, A Webcast can be viewed by unauthorized participants.,A Webcast might be interrupted by Internet connection problems.,A Webcast lacks face-to-face interaction.,A Webcast is more cost-effective than an in-person meeting.,4,,,,
What is the main difference between a PostScript (PS) file and an Encapsulated PostScript (EPS) file?," A PS file contains instructions that determine the display of the graphic, whereas an EPS file includes the bitmap information for the image as well.","PS is the audio format used by UNIX servers, whereas EPS is the audio format used by Windows servers.","A PS file is used to transport text files between operating systems and applications, whereas an EPS file is used to transport audio or video content between operating systems and applications.","A PS file compresses graphics, whereas an EPS file compresses audio or video content.",1,,,,
James has just finished designing a Web site to support a charity organization's fund-raising efforts. He needs to meet with the board members to get their feedback and address some questions before he implements the final design. The board members are dispersed throughout the country and want to avoid spending charity funds on traveling to this meeting. Which of the following solutions would best support the charity and provide James with an opportunity to discuss the design with the group?, Create a PowerPoint slideshow that contains pictures of the Web site design and create a survey to gather the board members' feedback.,Create an audio Webcast and distribute it to the board members over the Internet.,Plan a Webinar that reviews the layout of the site then request that board members submit their feedback by e-mail after the Webinar.,Plan a Web conference using a service that supports screen-sharing and phone conferencing.,4,,,,
A plug-in is useful for:, writing HTML code for Web browsers.,creating streaming technology.,extending a browser's capabilities.,clearing the browser cache.,3,,,,
Sensitive data (such as credit card information) should be secured using authentication and encryption when transmitting it over the Internet. Which protocol do most servers use to exchange sensitive data over the Internet?, Simple Mail Transfer Protocol (SMTP),Secure Sockets Layer (SSL),Hypertext Transfer Protocol (HTTP),File Transfer Protocol (FTP),2,,,,
"Stephen is creating video tutorials to sell his company's products. The target audience will consist of company employees using primarily new computers with the Windows operating systems and Internet Explorer 9. Stephen is debating whether to publish the videos using the MP4 or the OGG video format. Both formats are compatible with the HTML5 video element, which he is using in his tutorials. Which of the following would be a reason for Stephen to choose one format over the over?", The MP4 video format is a free open-source solution that is compatible with all browsers.,The OGG video format is a free open-source solution that is compatible with all browsers.,The MP4 video format is natively supported by Internet Explorer 9 and does not require a plug-in.,The OGG video format is natively supported by Internet Explorer 9 and does not require a plug-in.,3,,,,
"The graphics you are probably most familiar with, GIFs and JPEGs, are raster graphics. What are raster graphics?", Pixel-based images that describe a series of points to be connected,"Mathematical shapes saved as a sequence of vector statements, which map bits directly to a display space",Images that map bits directly to a display space,"Mathematical shapes saved as a sequence of vector statements, which describe a series of points to be connected",3,,,,
Which popular plug-in is Microsoft's response to Adobe Flash?, Windows Media Player,Zotero,QuickTime,Silverlight,4,,,,
You want to learn more about CIW certifications and access a PDF document at http://www.ciwcertified.com/_resources/CIW_Roadmap.pdf. Which type of URL does this represent?, A deep URL,A default URL,An absolute URL,A relative URL,1,,,,
"Susan is taking an online college seminar series in Art History. All classes will be delivered over the Web. Although there is no opportunity to ask questions, the live lectures and artwork presentations are engaging. Which Web-based meeting format was used?", Blog,Podcast,Web conference,Webinar,4,,,,
What is the main benefit of using Rich Text Format (RTF)?, RTF is a file format that you can use to import and export graphics files between operating systems and applications.,RTF has become an Internet standard for graphics.,RTF provides an efficient compression algorithm to reduce file size.,"RTF is compatible with many operating systems and applications, including most Macintosh and Windows word processors.",4,,,,
What is the term for the part of a browser responsible for reading and processing programming languages?, Rendering engine,Thread,Sandbox,Interpreter,4,,,,
You have activated pop-up blockers in your Web browser to prevent pop-up windows from continually interrupting your browsing experience. What could be an unintended consequence of this action?, You may not be able to clear your browser's cache.,You may not be able to access the company intranet.,You may not be able to enter logon information when needed to access a site.,You may not be able to set up Web feeds when needed to access news headlines.,3,,,,
What is the main advantage of the Ogg Vorbis (OGG) audio file format?," OGG files are larger, download faster, and sound as good as other audio file formats.","OGG files are smaller than and sound as good as other audio file formats, but do not download as quickly.","OGG files are smaller and download faster than other audio file formats, but do not sound as good.","OGG files are smaller, download faster, and sound as good as other audio file formats.",4,,,,
"Samson needs to review several promotional product videos from his company's marketing department immediately, before a meeting to discuss revisions. Samson tries to view the videos on his computer using his Windows Media Player, but they will not play. The video files are in RealMedia format. What should Samson do in order to view these videos?", Contact his company's Technical Support department and request an upgrade for his computer.,"Convert the video files to the WMV format, because RealMedia files will not play in Windows Media Player.","Decompress the files before attempting to play them in Windows Media Player, because RealMedia files are compressed for uploading/downloading.",Upload the videos to the Web server to view them on the company Web site because they will not play from a local computer.,2,,,,
"The Flash Player allows browsers to play Flash movies, which are animations created using vector graphics. What are vector graphics?"," Mathematical shapes saved as a sequence of vector statements, which describe a series of points to be connected",Images that map bits directly to a display space,Pixel-based images that describe a series of points to be connected,"Mathematical shapes saved as a sequence of vector statements, which map bits directly to a display space",1,,,,
"Monty has been searching online for a rare wine vintage. He finally finds it on the Rare Vintage Web site, which he has recently heard about from friends. The site is well designed and offers some good deals on hard-to-find wines. As Monty navigates through the checkout process, he reaches the checkout page with the following URL, which asks him to enter his credit card and mailing information: http://www.RareVintage.com/vprod/checkout.html/ref=chk_out_TLS128_1b?ie=UTF8&docId=107931. Monty cancels his online transaction instead of proceeding. Why?"," Because the site uses 128-bit encryption, which is illegal for companies that are located overseas","Because the URL uses abbreviations and is not completely readable, so Monty cannot identify the domain name","C .Because the URL uses SSL/TLS encryption, which Monty knows is not compatible with the browser he is using",Because the URL does not use SSL/TLS encryption and therefore any information Monty enters would not be secure,4,,,,
"Ken has been asked to test a newly developed Web site. Part of the test plan requires him to verify that all links within the site work properly. In addition to verifying that clicking a link navigates to the appropriate Web page, what else will he observe?", The URL displayed in the browser's Address bar will update with each link that is clicked.,Clicking a hyperlink that is deeper than three clicks from the home page will automatically send you back to the home page.,Clicking a hyperlink will update the Home button in the browser toolbar.,"The URL displayed in the browser's Address bar will display only the domain of the Web server, no matter which link is clicked.",1,,,,
You work with UNIX workstations and want to install a Web browser specific to your environment. Which browser should you install?, RockMelt,Konqueror,Lynx,Safari,2,,,,
"Your mom sent you a message with a link to a college information page that you find very useful. You want to be able to find this same page in the future from your desktop computer, or from your mobile device when you are not at your desk. Which is the best way to do this?", Add the link to a cloud-based bookmark service such as Delicious or Google Bookmarks.,Save the message from your mom so you can open the message and copy or click the link any time you want to view the page.,"Memorize the URL so you can find the page using any browser, any time.",Manually enter the Web address into any and all browsers on all of your devices.,1,,,,
"How can you view a Web page, including all related images, fonts and scripts referenced by the HTML on the page, without connecting to the Internet?", Save the Web page content to your computer's local disk cache.,Install the appropriate viewer for the browser you are using.,Save the Web page content to your hard disk.,Install the appropriate plug-in for the browser you are using.,3,,,,
Why is it important to have an adequate amount of disk cache space when downloading multimedia objects?, Because plug-ins can store a portion of the multimedia object data in the cache and begin streaming delivery as the file downloads,Because plug-ins for viewing multimedia objects often require a large amount of disk cache space,Because all multimedia objects must be completely downloaded to your hard drive before you can view them,Because multimedia objects are stored in the disk cache on the hard drive until you decide to view them,1,,,,
Consider the following address: http://www.CIWcertified.com/Courses/Web_Foundations/iba.htm Which part of this address represents the protocol being used to send the page information from the server to the computer of the user who requested it?, www,.CIWcertifed.com,/Courses/,http://,4,,,,
You have just installed the Microsoft Windows 7 operating system on your PC. Which Web browser is bundled with Windows 7 and is installed automatically when you load the operating system?, Mozilla,Internet Explorer,Opera,Safari,2,,,,
You want to look at multiple Web sites simultaneously and follow different paths of hyperlinks in each site. What is the easiest way to accomplish this in current Web browsers?, Store Web sites in your History folder and access them as needed.,Open multiple windows in one browser and use tabbed browsing.,Store Web sites in your browser cache and access them as needed.,Launch your Web browser multiple times to accommodate each site.,2,,,,
"You use a proprietary Windows-based program to create designs and layouts for your freelance greeting card business. You want to share samples of your work on your Web site for potential new customers to review. You convert the file format of your designs so that customers can view accurate renderings of them, regardless of the local operating system, settings or browser each individual uses to view your site. Which file format should you use?", PDF,OGG,DOC,MP3,1,,,,
"Which file format designates an Apple QuickTime Movie file, which supports video, animation, text and audio?", SWF,MPEG,AVI,MOV,4,,,,
Which type of URL gives an abbreviated path to a resource using the current page as a starting position?, Absolute URL,Root URL,Relative URL,Deep URL,3,,,,
You are using Firefox as your default browser and you want to customize it to better suit your browsing habits. What plug-ins and extensions specific to Firefox can you use to accomplish this?, Firefox add-ons,Firefox viewers,Firefox codecs,Firefox ActiveX controls,1,,,,
Anonymous browsing allows users to:, develop software that lacks any constraints imposed by prior development.,"surf the Web privately, leaving no cached information.","create new processes and recover from problem threads, thereby avoiding crashes.",improve the performance of computers with slow connections.,2,,,,
"Users can access and navigate an FTP server using an FTP client program. For which action does the FTP client program use the ""get"" command?", To upload a file,To move a file to a new location,To download a file,To search for a file,3,,,,
Which choice lists the systems for which the Windows Media Player is available?, Windows and Linux systems,Windows and Macintosh systems,Windows and UNIX systems,Windows and DOS systems,2,,,,
"Which file format is a popular, customizable graphics format commonly used for medical imaging and desktop publishing?", TIFF,PNG,GIF,JPEG,1,,,,
Sarah just made a purchase on an online shopping site (such as amazon.com) and completed the checkout process by paying with her credit card. Which protocol was most likely used for the transmission of her information?, POP3,FTPS,HTTPS,IMAPS,3,,,,
Which is the standard video file format for Microsoft Windows?, Ogg Vorbis (OGG),Audio Video Interleave (AVI),Moving Picture Experts Group (MPEG),QuickTime Movie (MOV),2,,,,
